URL,FirstContentfulPaint,FirstInteractive,LargestContentfulPaint,SpeedIndex,CumulativeLayoutShift,FisrtMeaningfulPaint,TotalBlockingTime,MaxPotentialFID
https://pccegoa.edu.in/,5.5,34.0,34.9,17.5,0.287,6.6,870,430
https://dbcegoa.ac.in/,3.1,8.6,3.3,10.8,0.437,3.2,370,410
https://aitdgoa.edu.in/,5.0,25.0,9.6,18.0,0.019,5.7,1210,370
https://paruluniversity.ac.in/,3.6,14.2,28.7,8.6,0,3.6,700,180
