URL,FirstContentfulPaint,FirstInteractive,LargestContentfulPaint,SpeedIndex,CumulativeLayoutShift,FisrtMeaningfulPaint,TotalBlockingTime,MaxPotentialFID
https://pccegoa.edu.in/,6.4,33.8,10.2,16.7,0.285,8.4,1120,360
https://dbcegoa.ac.in/,3.1,8.4,3.3,9.7,0.462,3.2,390,430
https://aitdgoa.edu.in/,4.8,24.4,11.1,18.6,0.019,5.6,2480,510
https://paruluniversity.ac.in/,3.2,14.8,9.8,7.5,0,3.2,1390,350
