URL, First Contentful Paint, First Interactive, Largest Contentful Paint, Speed Index, Cumulative Layout Shift, Fisrt Meaningful Paint, Total Blocking Time, Max Potential FID
https://pccegoa.edu.in/,6.4 s,33.8 s,10.2 s,16.7 s,0.285,8.4 s,1120 ms,360 ms
https://dbcegoa.ac.in/,3.1 s,8.4 s,3.3 s,9.7 s,0.462,3.2 s,390 ms,430 ms
https://aitdgoa.edu.in/,4.8 s,24.4 s,11.1 s,18.6 s,0.019,5.6 s,2480 ms,510 ms
https://paruluniversity.ac.in/,3.2 s,14.8 s,9.8 s,7.5 s,0,3.2 s,1390 ms,350 ms
